,Project URL,SHA Detected,Module Path,Fully-Qualified Test Name (packageName.ClassName.methodName),Category,Status,PR Link,Notes
0,https://github.com/aim42/htmlSanityCheck,619caf4fadb53a797d4ed68027ce3f3704fe6a03,.,org.aim42.htmlsanitycheck.check.BrokenCrossReferencesCheckerTest.testTwoBrokenLinks,ID,Accepted,https://github.com/aim42/htmlSanityCheck/pull/311,
1,https://github.com/akud/modular-java-example,438bc99147e45aa3a6c81f5211fdfdbc3641ea9f,authentication-models,com.alexkudlick.authentication.client.AuthenticationClientTest.testCreateUser,ID,Accepted,https://github.com/akud/modular-java-example/pull/4,
2,https://github.com/akud/modular-java-example,438bc99147e45aa3a6c81f5211fdfdbc3641ea9f,authentication-client,com.alexkudlick.authentication.client.AuthenticationClientTest.testCreateUserThrowsOn409s,ID,Accepted,https://github.com/akud/modular-java-example/pull/4,
3,https://github.com/akud/modular-java-example,438bc99147e45aa3a6c81f5211fdfdbc3641ea9f,authentication-client,com.alexkudlick.authentication.client.AuthenticationClientTest.testSuccessfulLogin,ID,Accepted,https://github.com/akud/modular-java-example/pull/4,
4,https://github.com/akud/modular-java-example,438bc99147e45aa3a6c81f5211fdfdbc3641ea9f,authentication-client,com.alexkudlick.authentication.client.AuthenticationClientTest.testUnsuccessfulLogin,ID,Accepted,https://github.com/akud/modular-java-example/pull/4,
5,https://github.com/akud/modular-java-example,438bc99147e45aa3a6c81f5211fdfdbc3641ea9f,authentication-client,com.alexkudlick.authentication.models.AuthenticationRequestTest.testSerialize,ID,Accepted,https://github.com/akud/modular-java-example/pull/3,
62,https://github.com/azurite-engine/Azurite,46b86b533e3cdd7623137df32a31fc4052ac043e,.,java.io.xml.XMLParserTest.parse,ID,Accepted,https://github.com/azurite-engine/Azurite/pull/91,
105,https://github.com/carlos-velasco/JetBrainsAcademy-MusicAdvisor,190d81920d9ccead567808fa0f03cbc5b4a38e63,.,advisor.authentication.SpotifyAccessTokenFetcherTest.givenValidResponse_whenRequestingAccessToken_thenCallDoneWithCorrectHeaderAndBody,ID,Accepted,https://github.com/carlos-velasco/JetBrainsAcademy-MusicAdvisor/pull/7,
106,https://github.com/carlos-velasco/JetBrainsAcademy-MusicAdvisor,190d81920d9ccead567808fa0f03cbc5b4a38e63,.,advisor.authentication.SpotifyAccessTokenFetcherTest.givenValidResponse_whenRequestingAccessToken_thenSuccessfulMessagesAndAccessTokenArePrinted,ID,Accepted,https://github.com/carlos-velasco/JetBrainsAcademy-MusicAdvisor/pull/7,
160,https://github.com/GoogleContainerTools/jib,cbf7ae9591e0103c6dd6bd249a6b3c0e1dad9329,jib-cli,com.google.cloud.tools.jib.cli.BuildTest.testParse_incompatibleCredentialOptions[5],ID,Accepted,https://github.com/GoogleContainerTools/jib/pull/4103,
161,https://github.com/GoogleContainerTools/jib,cbf7ae9591e0103c6dd6bd249a6b3c0e1dad9329,jib-cli,com.google.cloud.tools.jib.cli.BuildTest.testParse_incompatibleCredentialOptions[6],ID,Accepted,https://github.com/GoogleContainerTools/jib/pull/4103,
162,https://github.com/GoogleContainerTools/jib,cbf7ae9591e0103c6dd6bd249a6b3c0e1dad9329,jib-cli,com.google.cloud.tools.jib.cli.BuildTest.testParse_incompatibleCredentialOptions[7],ID,Accepted,https://github.com/GoogleContainerTools/jib/pull/4103,
163,https://github.com/GoogleContainerTools/jib,cbf7ae9591e0103c6dd6bd249a6b3c0e1dad9329,jib-cli,com.google.cloud.tools.jib.cli.BuildTest.testParse_incompatibleCredentialOptions[8],ID,Accepted,https://github.com/GoogleContainerTools/jib/pull/4103,
164,https://github.com/GoogleContainerTools/jib,cbf7ae9591e0103c6dd6bd249a6b3c0e1dad9329,jib-cli,com.google.cloud.tools.jib.cli.JarTest.testParse_incompatibleCredentialOptions[5],ID,Accepted,https://github.com/GoogleContainerTools/jib/pull/4093,
165,https://github.com/GoogleContainerTools/jib,cbf7ae9591e0103c6dd6bd249a6b3c0e1dad9329,jib-cli,com.google.cloud.tools.jib.cli.JarTest.testParse_incompatibleCredentialOptions[6],ID,Accepted,https://github.com/GoogleContainerTools/jib/pull/4093,
166,https://github.com/GoogleContainerTools/jib,cbf7ae9591e0103c6dd6bd249a6b3c0e1dad9329,jib-cli,com.google.cloud.tools.jib.cli.JarTest.testParse_incompatibleCredentialOptions[7],ID,Accepted,https://github.com/GoogleContainerTools/jib/pull/4093,
167,https://github.com/GoogleContainerTools/jib,cbf7ae9591e0103c6dd6bd249a6b3c0e1dad9329,jib-cli,com.google.cloud.tools.jib.cli.JarTest.testParse_incompatibleCredentialOptions[8],ID,Accepted,https://github.com/GoogleContainerTools/jib/pull/4093,
168,https://github.com/GoogleContainerTools/jib,cbf7ae9591e0103c6dd6bd249a6b3c0e1dad9329,jib-cli,com.google.cloud.tools.jib.cli.WarTest.testParse_incompatibleCredentialOptions[5],ID,Accepted,https://github.com/GoogleContainerTools/jib/pull/4103,
169,https://github.com/GoogleContainerTools/jib,cbf7ae9591e0103c6dd6bd249a6b3c0e1dad9329,jib-cli,com.google.cloud.tools.jib.cli.WarTest.testParse_incompatibleCredentialOptions[6],ID,Accepted,https://github.com/GoogleContainerTools/jib/pull/4103,
170,https://github.com/GoogleContainerTools/jib,cbf7ae9591e0103c6dd6bd249a6b3c0e1dad9329,jib-cli,com.google.cloud.tools.jib.cli.WarTest.testParse_incompatibleCredentialOptions[7],ID,Accepted,https://github.com/GoogleContainerTools/jib/pull/4103,
171,https://github.com/GoogleContainerTools/jib,cbf7ae9591e0103c6dd6bd249a6b3c0e1dad9329,jib-cli,com.google.cloud.tools.jib.cli.WarTest.testParse_incompatibleCredentialOptions[8],ID,Accepted,https://github.com/GoogleContainerTools/jib/pull/4103,
384,https://github.com/jk1/Gradle-License-Report,84e9d1a2e7e2e38be8dc3a366ecc3027490634f3,.,"com.github.jk1.license.filter.LicenseBundleNormalizerSpec.""The regular expression must be matched""",ID,Accepted,https://github.com/jk1/Gradle-License-Report/pull/274,
385,https://github.com/jk1/Gradle-License-Report,84e9d1a2e7e2e38be8dc3a366ecc3027490634f3,.,"com.github.jk1.license.ProjectBuilderSpec.""it creates modules with license-files""",ID,Accepted,https://github.com/jk1/Gradle-License-Report/pull/274,
407,https://github.com/jreleaser/jreleaser,b834e78919aa275705098b11d059e98575f14657,jreleaser-linkedin-java-sdk,org.jreleaser.sdk.linkedin.LinkedinSdkTest.testMessageWithExplicitOwner,ID,Accepted,https://github.com/jreleaser/jreleaser/pull/1530,
408,https://github.com/jreleaser/jreleaser,b834e78919aa275705098b11d059e98575f14657,jreleaser-linkedin-java-sdk,org.jreleaser.sdk.linkedin.LinkedinSdkTest.testMessageWithImplicitOwner,ID,Accepted,https://github.com/jreleaser/jreleaser/pull/1530,
409,https://github.com/KelinTan/spring-boot-archetype,e4282acc9d4f94d0e9be44301222ecf3a5e29c5f,archetype-common,com.kelin.archetype.common.json.JsonConverterTest.testSerialize,ID,Accepted,https://github.com/KelinTan/spring-boot-archetype/pull/135,
436,https://github.com/makiftutuncu/exchange,d612711036ac76b5eea43ec2d1fa49d649166809,.,dev.akif.exchange.conversion.impl.ConversionControllerTest.creatingANewConversionReturnsCreatedConversion,ID,Accepted,https://github.com/makiftutuncu/exchange/pull/2,
437,https://github.com/makiftutuncu/exchange,d612711036ac76b5eea43ec2d1fa49d649166809,.,dev.akif.exchange.conversion.impl.ConversionControllerTest.gettingAConversionReturnsConversion,ID,Accepted,https://github.com/makiftutuncu/exchange/pull/2,
438,https://github.com/makiftutuncu/exchange,d612711036ac76b5eea43ec2d1fa49d649166809,.,dev.akif.exchange.conversion.impl.ConversionControllerTest.listingConversionsReturnsConversions,ID,Accepted,https://github.com/makiftutuncu/exchange/pull/2,
